model,trial,seed,worst_start,max_R,band,actual_weighted_mass,actual_intersections,count_j1,weighted_j1,count_j2,weighted_j2,count_j3,weighted_j3,count_j4,weighted_j4,count_j5,weighted_j5
independent_square,25,16236339653217658223,946191,172.7389840778236,n^3<d<=n^4,67.7333333333334,220,0,0.0,0,0.0,0,0.0,6,-3.6,214,71.3333333333334
independent_square,25,16236339653217658223,946191,172.7389840778236,d>n^4,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
independent_square,26,12869327790998693949,51208,69.67231741115693,d<=n,389.20000000001704,2301,967,967.0,868,-810.1333333333181,357,285.6000000000019,96,-57.600000000000094,13,4.333333333333333
independent_square,26,12869327790998693949,51208,69.67231741115693,n<d<=n^2,-7.533333333331171,1778,0,0.0,283,-264.133333333334,596,476.8000000000046,557,-334.20000000000124,342,113.99999999999946
independent_square,26,12869327790998693949,51208,69.67231741115693,n^2<d<(n+1)^2,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
independent_square,26,12869327790998693949,51208,69.67231741115693,(n+1)^2<=d<=n^3,43.933333333333394,668,0,0.0,0,0.0,41,32.80000000000001,212,-127.1999999999995,415,138.3333333333329
independent_square,26,12869327790998693949,51208,69.67231741115693,n^3<d<=n^4,14.800000000000011,50,0,0.0,0,0.0,0,0.0,2,-1.2,48,16.00000000000001
independent_square,26,12869327790998693949,51208,69.67231741115693,d>n^4,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
independent_square,27,9307313185570824525,656290,55.5389840778236,d<=n,445.13333333334845,2288,953,953.0,823,-768.1333333333205,396,316.80000000000234,102,-61.2000000000001,14,4.666666666666666
independent_square,27,9307313185570824525,656290,55.5389840778236,n<d<=n^2,-72.13333333333304,1937,0,0.0,318,-296.8000000000008,581,464.80000000000445,628,-376.80000000000285,410,136.66666666666617
independent_square,27,9307313185570824525,656290,55.5389840778236,n^2<d<(n+1)^2,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
independent_square,27,9307313185570824525,656290,55.5389840778236,(n+1)^2<=d<=n^3,51.33333333333307,504,0,0.0,0,0.0,46,36.8,148,-88.79999999999987,310,103.33333333333294
independent_square,27,9307313185570824525,656290,55.5389840778236,n^3<d<=n^4,1.5999999999999979,30,0,0.0,0,0.0,0,0.0,9,-5.3999999999999995,21,6.999999999999997
independent_square,27,9307313185570824525,656290,55.5389840778236,d>n^4,0.3333333333333333,1,0,0.0,0,0.0,0,0.0,0,0.0,1,0.3333333333333333
independent_square,28,7326665137890325103,676668,61.27231741115693,d<=n,407.7333333333482,2188,937,937.0,827,-771.8666666666536,353,282.40000000000185,68,-40.800000000000054,3,1.0
independent_square,28,7326665137890325103,676668,61.27231741115693,n<d<=n^2,-40.333333333331694,1732,0,0.0,271,-252.933333333334,586,468.8000000000045,587,-352.2000000000019,288,95.99999999999972
independent_square,28,7326665137890325103,676668,61.27231741115693,n^2<d<(n+1)^2,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
independent_square,28,7326665137890325103,676668,61.27231741115693,(n+1)^2<=d<=n^3,60.600000000000236,669,0,0.0,0,0.0,32,25.600000000000012,190,-113.99999999999963,447,148.99999999999986
independent_square,28,7326665137890325103,676668,61.27231741115693,n^3<d<=n^4,4.0,12,0,0.0,0,0.0,0,0.0,0,0.0,12,4.0
independent_square,28,7326665137890325103,676668,61.27231741115693,d>n^4,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
independent_square,29,9460286839201919682,87869,99.00565074449027,d<=n,418.0666666666791,2071,949,949.0,794,-741.0666666666554,290,232.00000000000114,37,-22.20000000000001,1,0.3333333333333333
independent_square,29,9460286839201919682,87869,99.00565074449027,n<d<=n^2,-52.93333333332933,1561,0,0.0,303,-282.80000000000075,596,476.8000000000046,501,-300.59999999999997,161,53.66666666666677
independent_square,29,9460286839201919682,87869,99.00565074449027,n^2<d<(n+1)^2,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
independent_square,29,9460286839201919682,87869,99.00565074449027,(n+1)^2<=d<=n^3,93.86666666666954,976,0,0.0,0,0.0,30,24.00000000000001,263,-157.79999999999922,683,227.66666666666876
independent_square,29,9460286839201919682,87869,99.00565074449027,n^3<d<=n^4,10.733333333333336,35,0,0.0,0,0.0,0,0.0,1,-0.6,34,11.333333333333336
independent_square,29,9460286839201919682,87869,99.00565074449027,d>n^4,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
independent_square,30,5823974729352673706,648360,110.3389840778236,d<=n,420.8000000000161,2261,979,979.0,851,-794.2666666666523,350,280.0000000000018,76,-45.600000000000065,5,1.6666666666666665
independent_square,30,5823974729352673706,648360,110.3389840778236,n<d<=n^2,-31.000000000000853,2222,0,0.0,327,-305.20000000000084,660,528.0000000000042,713,-427.8000000000048,522,174.00000000000057
independent_square,30,5823974729352673706,648360,110.3389840778236,n^2<d<(n+1)^2,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
independent_square,30,5823974729352673706,648360,110.3389840778236,(n+1)^2<=d<=n^3,81.86666666666785,814,0,0.0,0,0.0,56,44.79999999999997,231,-138.5999999999994,527,175.66666666666728
independent_square,30,5823974729352673706,648360,110.3389840778236,n^3<d<=n^4,9.400000000000006,45,0,0.0,0,0.0,0,0.0,6,-3.6,39,13.000000000000005
independent_square,30,5823974729352673706,648360,110.3389840778236,d>n^4,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
independent_square,31,1197906404156733684,437342,97.67231741115694,d<=n,411.2000000000184,2511,958,958.0,868,-810.1333333333181,443,354.4000000000029,184,-110.39999999999966,58,19.333333333333332
independent_square,31,1197906404156733684,437342,97.67231741115694,n<d<=n^2,20.866666666667413,2523,0,0.0,324,-302.40000000000083,640,512.0000000000051,759,-455.40000000000583,800,266.66666666666896
independent_square,31,1197906404156733684,437342,97.67231741115694,n^2<d<(n+1)^2,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
independent_square,31,1197906404156733684,437342,97.67231741115694,(n+1)^2<=d<=n^3,33.3333333333333,387,0,0.0,0,0.0,35,28.000000000000014,120,-72.00000000000003,232,77.33333333333331
independent_square,31,1197906404156733684,437342,97.67231741115694,n^3<d<=n^4,3.0,9,0,0.0,0,0.0,0,0.0,0,0.0,9,3.0
independent_square,31,1197906404156733684,437342,97.67231741115694,d>n^4,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
independent_square,32,987656070977910553,815921,99.07231741115693,d<=n,402.2000000000174,2292,961,961.0,871,-812.9333333333179,372,297.60000000000207,78,-46.80000000000007,10,3.3333333333333335
independent_square,32,987656070977910553,815921,99.07231741115693,n<d<=n^2,-28.800000000003507,2112,0,0.0,321,-299.6000000000008,699,559.2000000000024,699,-419.40000000000447,393,130.99999999999935
independent_square,32,987656070977910553,815921,99.07231741115693,n^2<d<(n+1)^2,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
independent_square,32,987656070977910553,815921,99.07231741115693,(n+1)^2<=d<=n^3,80.33333333333492,857,0,0.0,0,0.0,52,41.59999999999998,246,-147.5999999999993,559,186.33333333333425
independent_square,32,987656070977910553,815921,99.07231741115693,n^3<d<=n^4,16.066666666666663,65,0,0.0,0,0.0,0,0.0,6,-3.6,59,19.666666666666664
independent_square,32,987656070977910553,815921,99.07231741115693,d>n^4,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
independent_square,33,14807995973516257558,806569,182.87231741115693,d<=n,418.00000000001734,2320,972,972.0,868,-810.1333333333181,386,308.8000000000022,90,-54.000000000000085,4,1.3333333333333333
independent_square,33,14807995973516257558,806569,182.87231741115693,n<d<=n^2,-34.86666666667392,2673,0,0.0,329,-307.0666666666675,737,589.6000000000007,914,-548.4000000000093,693,231.0000000000022
independent_square,33,14807995973516257558,806569,182.87231741115693,n^2<d<(n+1)^2,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
independent_square,33,14807995973516257558,806569,182.87231741115693,(n+1)^2<=d<=n^3,162.06666666666854,1175,0,0.0,0,0.0,42,33.60000000000001,267,-160.1999999999992,866,288.6666666666677
independent_square,33,14807995973516257558,806569,182.87231741115693,n^3<d<=n^4,8.399999999999999,28,0,0.0,0,0.0,0,0.0,1,-0.6,27,8.999999999999998
independent_square,33,14807995973516257558,806569,182.87231741115693,d>n^4,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
independent_square,34,11035483966002043753,397468,178.60565074449028,d<=n,404.3333333333474,2134,955,955.0,822,-767.1999999999872,307,245.60000000000133,49,-29.400000000000027,1,0.3333333333333333
independent_square,34,11035483966002043753,397468,178.60565074449028,n<d<=n^2,-29.13333333333165,1724,0,0.0,319,-297.73333333333414,676,540.8000000000035,552,-331.2000000000011,177,59.00000000000014
independent_square,34,11035483966002043753,397468,178.60565074449028,n^2<d<(n+1)^2,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
independent_square,34,11035483966002043753,397468,178.60565074449028,(n+1)^2<=d<=n^3,92.33333333333249,1544,0,0.0,0,0.0,79,63.1999999999999,492,-295.19999999999976,973,324.33333333333235
independent_square,34,11035483966002043753,397468,178.60565074449028,n^3<d<=n^4,81.79999999999981,279,0,0.0,0,0.0,0,0.0,12,-7.199999999999998,267,88.99999999999982
independent_square,34,11035483966002043753,397468,178.60565074449028,d>n^4,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
independent_square,35,908277930378458596,280439,107.60565074449026,d<=n,414.66666666667965,2093,950,950.0,803,-749.4666666666549,298,238.40000000000123,41,-24.600000000000016,1,0.3333333333333333
independent_square,35,908277930378458596,280439,107.60565074449026,n<d<=n^2,-32.33333333333013,1696,0,0.0,316,-294.93333333333413,651,520.8000000000046,537,-322.2000000000008,192,64.00000000000017
independent_square,35,908277930378458596,280439,107.60565074449026,n^2<d<(n+1)^2,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
independent_square,35,908277930378458596,280439,107.60565074449026,(n+1)^2<=d<=n^3,61.93333333333726,1149,0,0.0,0,0.0,50,39.999999999999986,369,-221.3999999999986,730,243.33333333333587
independent_square,35,908277930378458596,280439,107.60565074449026,n^3<d<=n^4,34.066666666666634,105,0,0.0,0,0.0,0,0.0,1,-0.6,104,34.666666666666636
independent_square,35,908277930378458596,280439,107.60565074449026,d>n^4,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
independent_square,36,6578733034294322267,657206,100.07231741115693,d<=n,403.9333333333462,2092,926,926.0,796,-742.9333333333219,315,252.00000000000142,53,-31.800000000000033,2,0.6666666666666666
independent_square,36,6578733034294322267,657206,100.07231741115693,n<d<=n^2,-25.399999999996155,1520,0,0.0,262,-244.53333333333396,555,444.00000000000415,492,-295.19999999999976,211,70.33333333333341
independent_square,36,6578733034294322267,657206,100.07231741115693,n^2<d<(n+1)^2,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
independent_square,36,6578733034294322267,657206,100.07231741115693,(n+1)^2<=d<=n^3,65.06666666666897,926,0,0.0,0,0.0,36,28.800000000000015,279,-167.39999999999912,611,203.66666666666808
independent_square,36,6578733034294322267,657206,100.07231741115693,n^3<d<=n^4,27.199999999999964,90,0,0.0,0,0.0,0,0.0,3,-1.7999999999999998,87,28.999999999999964
independent_square,36,6578733034294322267,657206,100.07231741115693,d>n^4,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
independent_square,37,13518324957499820077,410389,80.20565074449026,d<=n,389.53333333334774,2165,921,921.0,821,-766.2666666666539,343,274.40000000000174,71,-42.60000000000006,9,3.0
independent_square,37,13518324957499820077,410389,80.20565074449026,n<d<=n^2,-11.400000000000432,2023,0,0.0,261,-243.60000000000062,641,512.8000000000051,701,-420.6000000000045,420,139.9999999999996
independent_square,37,13518324957499820077,410389,80.20565074449026,n^2<d<(n+1)^2,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
independent_square,37,13518324957499820077,410389,80.20565074449026,(n+1)^2<=d<=n^3,63.73333333333457,803,0,0.0,0,0.0,41,32.80000000000001,239,-143.39999999999935,523,174.3333333333339
independent_square,37,13518324957499820077,410389,80.20565074449026,n^3<d<=n^4,9.066666666666666,30,0,0.0,0,0.0,0,0.0,1,-0.6,29,9.666666666666666
independent_square,37,13518324957499820077,410389,80.20565074449026,d>n^4,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
independent_square,38,12854477015722701219,528147,106.40565074449027,d<=n,409.20000000001386,2180,938,938.0,811,-756.9333333333211,341,272.8000000000017,80,-48.00000000000007,10,3.3333333333333335
independent_square,38,12854477015722701219,528147,106.40565074449027,n<d<=n^2,-14.933333333332428,2015,0,0.0,279,-260.40000000000066,582,465.60000000000446,648,-388.8000000000033,506,168.66666666666708
independent_square,38,12854477015722701219,528147,106.40565074449027,n^2<d<(n+1)^2,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
independent_square,38,12854477015722701219,528147,106.40565074449027,(n+1)^2<=d<=n^3,78.60000000000029,667,0,0.0,0,0.0,32,25.600000000000012,170,-101.99999999999974,465,155.00000000000003
independent_square,38,12854477015722701219,528147,106.40565074449027,n^3<d<=n^4,4.266666666666664,24,0,0.0,0,0.0,0,0.0,4,-2.4,20,6.666666666666664
independent_square,38,12854477015722701219,528147,106.40565074449027,d>n^4,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
independent_square,39,17628866059880776415,854789,98.67231741115694,d<=n,413.46666666668074,2135,940,940.0,816,-761.5999999999875,329,263.2000000000016,48,-28.800000000000026,2,0.6666666666666666
independent_square,39,17628866059880776415,854789,98.67231741115694,n<d<=n^2,-35.799999999995954,1630,0,0.0,308,-287.46666666666744,625,500.00000000000495,515,-309.0000000000003,182,60.66666666666682
independent_square,39,17628866059880776415,854789,98.67231741115694,n^2<d<(n+1)^2,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
independent_square,39,17628866059880776415,854789,98.67231741115694,(n+1)^2<=d<=n^3,31.133333333335855,1058,0,0.0,0,0.0,87,69.59999999999988,388,-232.7999999999985,583,194.33333333333448
independent_square,39,17628866059880776415,854789,98.67231741115694,n^3<d<=n^4,57.599999999999966,268,0,0.0,0,0.0,0,0.0,34,-20.400000000000006,234,77.99999999999997
independent_square,39,17628866059880776415,854789,98.67231741115694,d>n^4,3.0,9,0,0.0,0,0.0,0,0.0,0,0.0,9,3.0
independent_square,40,5059968125754596135,912749,170.3389840778236,d<=n,446.2666666666849,2470,955,955.0,860,-802.6666666666518,476,380.80000000000325,157,-94.19999999999982,22,7.33333333333333
independent_square,40,5059968125754596135,912749,170.3389840778236,n<d<=n^2,39.33333333332229,3058,0,0.0,308,-287.46666666666744,614,491.2000000000048,939,-563.4000000000099,1197,398.99999999999477
independent_square,40,5059968125754596135,912749,170.3389840778236,n^2<d<(n+1)^2,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
independent_square,40,5059968125754596135,912749,170.3389840778236,(n+1)^2<=d<=n^3,54.9999999999998,368,0,0.0,0,0.0,27,21.60000000000001,86,-51.60000000000008,255,84.99999999999987
independent_square,40,5059968125754596135,912749,170.3389840778236,n^3<d<=n^4,0.46666666666666656,7,0,0.0,0,0.0,0,0.0,2,-1.2,5,1.6666666666666665
independent_square,40,5059968125754596135,912749,170.3389840778236,d>n^4,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
independent_square,41,637132605493534720,203617,61.07231741115693,d<=n,427.00000000001467,2235,940,940.0,818,-763.4666666666541,378,302.40000000000214,91,-54.60000000000009,8,2.6666666666666665
independent_square,41,637132605493534720,203617,61.07231741115693,n<d<=n^2,-49.799999999999315,1874,0,0.0,300,-280.00000000000074,593,474.4000000000046,612,-367.2000000000025,369,122.99999999999933
independent_square,41,637132605493534720,203617,61.07231741115693,n^2<d<(n+1)^2,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
independent_square,41,637132605493534720,203617,61.07231741115693,(n+1)^2<=d<=n^3,52.86666666666635,601,0,0.0,0,0.0,30,24.00000000000001,173,-103.79999999999973,398,132.66666666666606
independent_square,41,637132605493534720,203617,61.07231741115693,n^3<d<=n^4,1.733333333333333,8,0,0.0,0,0.0,0,0.0,1,-0.6,7,2.333333333333333
independent_square,41,637132605493534720,203617,61.07231741115693,d>n^4,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
independent_square,42,12973709305259501376,350579,99.60565074449026,d<=n,410.06666666668,2161,959,959.0,809,-755.0666666666546,305,244.0000000000013,72,-43.20000000000006,16,5.333333333333332
independent_square,42,12973709305259501376,350579,99.60565074449026,n<d<=n^2,-44.733333333332,1837,0,0.0,308,-287.46666666666744,584,467.2000000000045,578,-346.8000000000017,367,122.33333333333267
independent_square,42,12973709305259501376,350579,99.60565074449026,n^2<d<(n+1)^2,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
independent_square,42,12973709305259501376,350579,99.60565074449026,(n+1)^2<=d<=n^3,84.7333333333346,810,0,0.0,0,0.0,49,39.19999999999999,223,-133.79999999999944,538,179.33333333333405
independent_square,42,12973709305259501376,350579,99.60565074449026,n^3<d<=n^4,20.266666666666644,86,0,0.0,0,0.0,0,0.0,9,-5.3999999999999995,77,25.666666666666643
independent_square,42,12973709305259501376,350579,99.60565074449026,d>n^4,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
independent_square,43,1184192299766106552,793289,100.5389840778236,d<=n,392.8666666666829,2213,942,942.0,852,-795.1999999999856,354,283.20000000000186,63,-37.80000000000005,2,0.6666666666666666
independent_square,43,1184192299766106552,793289,100.5389840778236,n<d<=n^2,-31.266666666668442,2122,0,0.0,281,-262.26666666666733,656,524.8000000000044,738,-442.80000000000535,447,148.99999999999986
independent_square,43,1184192299766106552,793289,100.5389840778236,n^2<d<(n+1)^2,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
independent_square,43,1184192299766106552,793289,100.5389840778236,(n+1)^2<=d<=n^3,107.26666666666823,802,0,0.0,0,0.0,27,21.60000000000001,185,-110.99999999999966,590,196.66666666666788
independent_square,43,1184192299766106552,793289,100.5389840778236,n^3<d<=n^4,2.4,10,0,0.0,0,0.0,0,0.0,1,-0.6,9,3.0
independent_square,43,1184192299766106552,793289,100.5389840778236,d>n^4,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
independent_square,44,5434204389300068256,913538,170.07231741115694,d<=n,409.73333333334824,2223,955,955.0,829,-773.7333333333202,346,276.8000000000018,85,-51.00000000000008,8,2.6666666666666665
independent_square,44,5434204389300068256,913538,170.07231741115694,n<d<=n^2,-5.115907697472721e-13,2091,0,0.0,327,-305.20000000000084,674,539.2000000000036,640,-384.0000000000031,450,149.9999999999999
independent_square,44,5434204389300068256,913538,170.07231741115694,n^2<d<(n+1)^2,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
independent_square,44,5434204389300068256,913538,170.07231741115694,(n+1)^2<=d<=n^3,94.6666666666695,1285,0,0.0,0,0.0,53,42.39999999999998,384,-230.39999999999853,848,282.66666666666805
independent_square,44,5434204389300068256,913538,170.07231741115694,n^3<d<=n^4,36.06666666666667,125,0,0.0,0,0.0,0,0.0,6,-3.6,119,39.66666666666667
