n,exact_holes,max_depth,K3_r3_ratio,K3_r3_margin,K3_bonf_ratio,K3_bonf_margin,K3_best_r,K3_best_ratio,K3_best_margin,K5_r3_ratio,K5_r3_margin,K5_bonf_ratio,K5_bonf_margin,K5_best_r,K5_best_ratio,K5_best_margin,K7_r3_ratio,K7_r3_margin,K7_bonf_ratio,K7_bonf_margin,K7_best_r,K7_best_ratio,K7_best_margin,K9_r3_ratio,K9_r3_margin,K9_bonf_ratio,K9_bonf_margin,K9_best_r,K9_best_ratio,K9_best_margin,K11_r3_ratio,K11_r3_margin,K11_bonf_ratio,K11_bonf_margin,K11_best_r,K11_best_ratio,K11_best_margin
111902,9573,8,1.03775625101,-4225,1.42890207503,-47995,3,1.03775625101,-4225,0.932990175928,7498.53333333,0.933334524852,7460,3,0.932990175928,7498.53333333,0.924138659592,8489.03571429,0.914469803936,9571,2,0.914469803936,9571,0.920479228849,8898.53333333,0.914451931154,9573,2,0.914451931154,9573,0.91856145231,9113.13636364,0.914451931154,9573,2,0.914451931154,9573
111907,9650,8,1.03657501318,-4093,1.42713145737,-47799,3,1.03657501318,-4093,0.932353352933,7570.13333333,0.932211568535,7586,2,0.932211568535,7586,0.923489721695,8562.03571429,0.913794490068,9647,2,0.913794490068,9647,0.919816951179,8973.04444444,0.913767682093,9650,2,0.913767682093,9650,0.917892183742,9188.43939394,0.913767682093,9650,2,0.913767682093,9650
111908,9625,8,1.03715254197,-4157.66666667,1.42633234443,-47710,3,1.03715254197,-4157.66666667,0.932597014214,7542.93333333,0.933141509097,7482,3,0.932597014214,7542.93333333,0.923714441454,8536.96428571,0.914009722272,9623,2,0.914009722272,9623,0.92004146263,8948,0.913991850449,9625,2,0.913991850449,9625,0.918116586027,9163.40909091,0.913991850449,9625,2,0.913991850449,9625
111918,9737,8,1.03592809021,-4021,1.42519523222,-47587,3,1.03592809021,-4021,0.931596943,7655.53333333,0.931565967941,7659,2,0.931565967941,7659,0.922725630755,8648.39285714,0.913025608034,9734,2,0.913025608034,9734,0.919051051266,9059.64444444,0.912998802695,9737,2,0.912998802695,9737,0.917125335811,9275.16666667,0.912998802695,9737,2,0.912998802695,9737
111919,9676,8,1.03692104707,-4132.16666667,1.42619215683,-47699,3,1.03692104707,-4132.16666667,0.932216454162,7586.26666667,0.932603043272,7543,3,0.932216454162,7586.26666667,0.923302949965,8583.85714286,0.913562487156,9674,2,0.913562487156,9674,0.919616468656,8996.44444444,0.913544617089,9676,2,0.913544617089,9676,0.917684515885,9212.66666667,0.913544617089,9676,2,0.913544617089,9676
111929,9681,7,1.03658718176,-4095.16666667,1.42635956723,-47722,3,1.03658718176,-4095.16666667,0.932167713461,7592.4,0.931733509636,7641,2,0.931733509636,7641,0.923283956794,8586.75,0.913507670041,9681,2,0.913507670041,9681,0.919590692909,9000.13333333,0.913507670041,9681,2,0.913507670041,9681,0.917655185633,9216.77272727,0.913507670041,9681,2,0.913507670041,9681
111930,9596,8,1.03763959618,-4213,1.42611453587,-47695,3,1.03763959618,-4213,0.933031358885,7495.8,0.933324399178,7463,3,0.933031358885,7495.8,0.92406989062,8498.85714286,0.914294648441,9593,2,0.914294648441,9593,0.920366895977,8913.33333333,0.914267845975,9596,2,0.914267845975,9596,0.918426289158,9130.54545455,0.914267845975,9596,2,0.914267845975,9596
111932,9568,8,1.03735303577,-4181,1.42574062824,-47654,3,1.03735303577,-4181,0.933145123825,7483.2,0.932941428725,7506,2,0.932941428725,7506,0.924270347813,8476.57142857,0.914537397706,9566,2,0.914537397706,9566,0.92058670542,8888.88888889,0.914519529714,9568,2,0.914519529714,9568,0.918656240423,9104.96969697,0.914519529714,9568,2,0.914519529714,9568
111933,9696,8,1.03699236746,-4140.66666667,1.42843486729,-47956,3,1.03699236746,-4140.66666667,0.931992650365,7612.26666667,0.932781217335,7524,3,0.931992650365,7612.26666667,0.923084089845,8609.42857143,0.913394619996,9694,2,0.913394619996,9694,0.919416873388,9019.91111111,0.913376752164,9696,2,0.913376752164,9696,0.917495016635,9235.03030303,0.913376752164,9696,2,0.913376752164,9696
111934,9607,8,1.03790477722,-4242.83333333,1.42886879768,-48005,3,1.03790477722,-4242.83333333,0.932740126622,7528.66666667,0.932647810317,7539,2,0.932647810317,7539,0.923909242436,8517.14285714,0.914181571283,9606,2,0.914181571283,9606,0.92023096944,8928.86666667,0.914172637447,9607,2,0.914172637447,9607,0.918303318352,9144.63636364,0.914172637447,9607,2,0.914172637447,9607
111936,9675,8,1.03728618735,-4173.66666667,1.42731560892,-47832,3,1.03728618735,-4173.66666667,0.932298813608,7578.2,0.932398870783,7567,3,0.932298813608,7578.2,0.923361818999,8578.57142857,0.913602415666,9671,2,0.913602415666,9671,0.919661433518,8992.77777778,0.913566680961,9675,2,0.913566680961,9675,0.917722194068,9209.84848485,0.913566680961,9675,2,0.913566680961,9675
111938,9613,7,1.03713514029,-4156.83333333,1.42569100752,-47651,3,1.03713514029,-4156.83333333,0.93268892899,7534.66666667,0.932310743447,7577,2,0.932310743447,7577,0.923871441589,8521.67857143,0.914122103307,9613,2,0.914122103307,9613,0.920188358238,8933.95555556,0.914122103307,9613,2,0.914122103307,9613,0.918258186215,9150.01515152,0.914122103307,9613,2,0.914122103307,9613
111939,9676,8,1.0365690242,-4093.5,1.42490106219,-47563,3,1.0365690242,-4093.5,0.932188662277,7590.73333333,0.932409615952,7566,3,0.932188662277,7590.73333333,0.923293681635,8586.42857143,0.913586864274,9673,2,0.913586864274,9673,0.919616537181,8998.04444444,0.913560063963,9676,2,0.913560063963,9676,0.917689477521,9213.75757576,0.913560063963,9676,2,0.913560063963,9676
111943,9690,8,1.03619550426,-4051.83333333,1.42387643712,-47450,3,1.03619550426,-4051.83333333,0.932024929354,7609.33333333,0.93186711094,7627,2,0.93186711094,7627,0.92318188721,8599.25,0.913464888381,9687,2,0.913464888381,9687,0.919500896786,9011.31111111,0.913438089027,9690,2,0.913438089027,9690,0.91757182159,9227.25757576,0.913438089027,9690,2,0.913438089027,9690
111944,9613,8,1.03690684628,-4131.5,1.42538233402,-47619,3,1.03690684628,-4131.5,0.932722909074,7531.26666667,0.933198742228,7478,3,0.932722909074,7531.26666667,0.92383787557,8525.89285714,0.9141713714,9608,2,0.9141713714,9608,0.92016921159,8936.57777778,0.91412670621,9613,2,0.91412670621,9613,0.918246596242,9151.8030303,0.91412670621,9613,2,0.91412670621,9613
111947,9570,8,1.03800161386,-4254.16666667,1.42805077403,-47919,3,1.03800161386,-4254.16666667,0.933192790636,7478.86666667,0.933146935603,7484,2,0.933146935603,7484,0.924285599435,8476,0.91453991621,9567,2,0.91453991621,9567,0.920593773045,8889.28888889,0.914513117815,9570,2,0.914513117815,9570,0.918659019108,9105.87878788,0.914513117815,9570,2,0.914513117815,9570
111948,9652,8,1.03751444123,-4199.66666667,1.42645692643,-47741,3,1.03751444123,-4199.66666667,0.932563332976,7549.4,0.932834887626,7519,3,0.932563332976,7549.4,0.923596861298,8553.17857143,0.913799263944,9650,2,0.913799263944,9650,0.919888797577,8968.28888889,0.913781398506,9652,2,0.913781398506,9652,0.917945534236,9185.83333333,0.913781398506,9652,2,0.913781398506,9652
111956,9613,8,1.03773655126,-4224.83333333,1.42772160492,-47886,3,1.03773655126,-4224.83333333,0.932715828838,7532.86666667,0.932491335882,7558,2,0.932491335882,7558,0.923892932428,8520.64285714,0.914153774697,9611,2,0.914153774697,9611,0.92020694638,8933.31111111,0.914135910536,9613,2,0.914135910536,9613,0.918275253157,9149.57575758,0.914135910536,9613,2,0.914135910536,9613
111957,9634,8,1.03787168288,-4240,1.42703895245,-47810,3,1.03787168288,-4240,0.932714047953,7533.13333333,0.932965334905,7505,3,0.932714047953,7533.13333333,0.923763779206,8535.17857143,0.913984833463,9630,2,0.913984833463,9630,0.920056013569,8950.28888889,0.91394910546,9634,2,0.91394910546,9634,0.918112906443,9167.83333333,0.91394910546,9634,2,0.91394910546,9634
111961,9610,8,1.0374163027,-4189.16666667,1.42660390672,-47763,3,1.0374163027,-4189.16666667,0.932840899956,7519.2,0.932806959566,7523,2,0.932806959566,7523,0.923934290895,8516.39285714,0.914193335179,9607,2,0.914193335179,9607,0.920244251719,8929.53333333,0.914166540135,9610,2,0.914166540135,9610,0.918310434396,9146.04545455,0.914166540135,9610,2,0.914166540135,9610
111962,9718,8,1.03559392175,-3985.16666667,1.42467980208,-47548,3,1.03559392175,-3985.16666667,0.931658955717,7651.6,0.93182508351,7633,3,0.931658955717,7651.6,0.922859031253,8636.85714286,0.913220556975,9716,2,0.913220556975,9716,0.919211081538,9045.28888889,0.913202693771,9718,2,0.913202693771,9718,0.917299321794,9259.33333333,0.913202693771,9718,2,0.913202693771,9718
111964,9642,8,1.03728430567,-4174.5,1.42753920903,-47869,3,1.03728430567,-4174.5,0.932467578865,7561.2,0.932397913615,7569,2,0.932397913615,7569,0.923627237326,8551,0.913900896717,9640,2,0.913900896717,9640,0.919946093784,8963.15555556,0.913883033832,9642,2,0.913883033832,9642,0.918016938345,9179.15151515,0.913883033832,9642,2,0.913883033832,9642
111965,9504,8,1.03899284002,-4365.83333333,1.43024159336,-48172,3,1.03899284002,-4365.83333333,0.933758466187,7416.73333333,0.933782878578,7414,3,0.933758466187,7416.73333333,0.924874482459,8411.42857143,0.915143125084,9501,2,0.915143125084,9501,0.921188069684,8824.17777778,0.915116330996,9504,2,0.915116330996,9504,0.919256152829,9040.48484848,0.915116330996,9504,2,0.915116330996,9504
111968,9716,8,1.035962656,-4026.66666667,1.42373713918,-47445,3,1.035962656,-4026.66666667,0.93185255311,7630.33333333,0.931775150043,7639,2,0.931775150043,7639,0.922975122994,8624.32142857,0.913243069448,9714,2,0.913243069448,9714,0.919291821473,9036.73333333,0.913225207202,9716,2,0.913225207202,9716,0.917361535114,9252.86363636,0.913225207202,9716,2,0.913225207202,9716
111969,9597,8,1.0371323015,-4157.66666667,1.42722539274,-47836,3,1.0371323015,-4157.66666667,0.93284093514,7519.73333333,0.93339227822,7458,3,0.93284093514,7519.73333333,0.923970027418,8513,0.914315569488,9594,2,0.914315569488,9594,0.920312665907,8922.51111111,0.914288776358,9597,2,0.914288776358,9597,0.918395973777,9137.12121212,0.914288776358,9597,2,0.914288776358,9597
111971,9646,8,1.03721945861,-4167.5,1.42694983523,-47806,3,1.03721945861,-4167.5,0.932545033982,7553,0.932375347188,7572,2,0.932375347188,7572,0.923641261704,8549.96428571,0.913870555769,9644,2,0.913870555769,9644,0.91994335835,8964.02222222,0.913852694001,9646,2,0.913852694001,9646,0.918005419693,9181.01515152,0.913852694001,9646,2,0.913852694001,9646
111972,9653,8,1.03704497553,-4148,1.42683885257,-47794,3,1.03704497553,-4148,0.932413460508,7567.8,0.932795698925,7525,3,0.932413460508,7567.8,0.923523291537,8563.25,0.913817740149,9650,2,0.913817740149,9650,0.919846628324,8974.93333333,0.913790947737,9653,2,0.913790947737,9653,0.917919820864,9190.68181818,0.913790947737,9653,2,0.913790947737,9653
111975,9583,8,1.03742799732,-4191,1.42659522215,-47768,3,1.03742799732,-4191,0.933107092357,7490.33333333,0.933083277517,7493,2,0.933083277517,7493,0.924186202277,8489.25,0.914445188658,9580,2,0.914445188658,9580,0.920496142492,8902.44444444,0.914418396964,9583,2,0.914418396964,9583,0.918562314369,9118.98484848,0.914418396964,9583,2,0.914418396964,9583
