max_R,min_certificate,worst_start,fail_windows,R_median,R_q90,R_q99,R_q999,model,trial,seed
104.60565074449026,-84.33333333333333,644705,19802,-0.8610159221764029,8.27231741115693,24.872317411156928,52.29838407781993,uniform,48,2363637113911169719
94.47231741115694,-74.2,518958,19235,-0.9276825888430693,7.938984077823596,24.538984077823596,52.20565074449026,uniform,49,7743596886023264804
165.47231741115692,-145.2,896412,16173,-0.7943492555097365,8.07231741115693,23.005650744490264,52.7389840778236,uniform,50,10673223809566102092
104.3389840778236,-84.06666666666666,884650,20491,-0.7943492555097365,8.205650744490264,26.138984077823597,90.9389840778236,uniform,51,14413751282253952044
104.60565074449026,-84.33333333333333,549289,17756,-0.8610159221764029,8.005650744490262,24.805650744490265,55.80265074447195,uniform,52,18430124290723235976
94.3389840778236,-74.06666666666666,669096,17034,-0.9943492555097357,8.338984077823596,24.07231741115693,50.138984077823594,uniform,53,16657168272117680621
104.60565074449026,-84.33333333333333,141860,21504,-0.8610159221764029,8.47231741115693,27.07231741115693,89.3389840778236,uniform,54,1905261976061308272
172.60565074449028,-152.33333333333334,863583,17859,-0.9276825888430693,8.138984077823597,24.405650744490263,64.5650507444866,uniform,55,17579865502794581295
172.20565074449027,-151.93333333333334,797442,21196,-1.0610159221764022,7.87231741115693,25.738984077823595,52.27231741115693,uniform,56,16810219245519978699
74.47231741115694,-54.2,951920,21515,-0.9276825888430693,8.005650744490262,27.405650744490263,53.40565074449026,uniform,57,17727297950050456629
96.7389840778236,-76.46666666666667,757850,18218,-0.9943492555097357,8.205650744490264,24.47231741115693,50.47231741115693,uniform,58,12280759125770512069
89.60565074449026,-69.33333333333333,928460,20322,-0.7943492555097365,8.27231741115693,25.672317411156932,51.672317411156925,uniform,59,17274514349122069055
97.9389840778236,-77.66666666666667,479478,17710,-0.7943492555097365,7.738984077823597,23.538984077823596,47.60565074449026,uniform,60,9169926221389230890
292.73898407782355,-272.46666666666664,550521,19936,-0.9276825888430693,8.07231741115693,27.27231741115693,97.67231741115694,uniform,61,12692306265315498601
97.40565074449027,-77.13333333333334,412406,17681,-0.9276825888430693,7.738984077823597,25.538984077823596,54.27231741115693,uniform,62,912723564994218050
103.80565074449026,-83.53333333333333,38235,23113,-0.8610159221764029,8.605650744490264,27.932984077825772,54.5389840778236,uniform,63,7340599011895167585
462.53898407782356,-442.26666666666665,856949,19957,-0.9276825888430693,8.138984077823597,26.805650744490265,56.00565074449027,uniform,64,16763647181811983526
107.3389840778236,-87.06666666666666,114285,21102,-0.8610159221764029,8.47231741115693,30.338984077823596,87.00565074449027,uniform,65,11848539689456647535
287.9389840778236,-267.6666666666667,237343,19313,-0.9276825888430693,7.738984077823597,25.605650744490262,94.29838407781993,uniform,66,14918573513556145926
59.338984077823596,-39.06666666666667,494348,16283,-0.9276825888430693,7.938984077823596,24.138984077823597,51.138984077823594,uniform,67,5745142070703483904
60.672317411156925,-40.4,756338,13438,-1.1276825888430686,7.5389840778235975,22.205650744490264,45.738984077823595,uniform,68,6833221639398671370
107.7389840778236,-87.46666666666667,190251,17030,-0.9276825888430693,7.738984077823597,24.738984077823595,89.47231741115694,uniform,69,15060255819091035987
103.3389840778236,-83.06666666666666,233998,22940,-0.7943492555097365,8.205650744490264,28.405650744490263,53.87231741115693,uniform,70,8732927878075605085
177.00565074449025,-156.73333333333332,107091,14498,-0.72768258884307,7.87231741115693,23.47231741115693,55.00565074449027,uniform,71,6033799109011135140
