model,trial,seed,worst_start,max_R,min_certificate,fail_windows,total_actual_weighted_mass,impossible_product_weighted_mass,impossible_product_intersections
independent_square,2,11152968823687245083,156800,95.27231741115693,-75.0,16899,466.0000000000161,95.86666666666677,660
independent_square,3,5673012824866946814,749981,176.1389840778236,-155.86666666666667,15698,546.8666666666832,164.20000000000397,1537
independent_square,4,15598168032123741713,435900,99.07231741115693,-78.8,20879,469.8000000000151,79.8666666666669,675
independent_square,5,13424278471330186248,454523,143.67231741115694,-123.4,17749,514.4000000000096,149.66666666666873,1506
independent_square,6,15133472560840775736,803357,113.47231741115694,-93.2,21250,484.2000000000132,83.00000000000058,711
independent_square,7,8768164236184003122,373596,291.0723174111569,-270.8,16411,661.7999999999944,290.86666666665417,2953
independent_square,8,3346887413222867795,785357,105.00565074449027,-84.73333333333333,18476,475.7333333333501,76.13333333333416,808
independent_square,9,4036888401711380382,177494,195.3389840778236,-175.06666666666666,18749,566.0666666666649,192.53333333332753,2336
independent_square,10,15954420470927862892,872935,99.47231741115694,-79.2,18308,470.20000000002125,80.13333333333658,1212
independent_square,11,12689853545985403984,179149,97.5389840778236,-77.26666666666667,20478,468.26666666668046,107.13333333333337,635
independent_square,12,4291604966143500096,318569,94.07231741115693,-73.8,19287,464.80000000002013,40.46666666666668,337
independent_square,13,12514303176209966691,999035,177.67231741115694,-157.4,16211,548.4000000000061,208.26666666666503,1427
independent_square,14,1810448075220651958,620756,91.80565074449026,-71.53333333333333,16221,462.53333333335,68.86666666666834,922
independent_square,15,18371652861380401229,667750,289.9389840778236,-269.6666666666667,16320,660.6666666666737,285.73333333332823,2022
independent_square,16,4767209394541770639,733619,166.00565074449025,-145.73333333333332,18607,536.7333333333494,157.20000000000346,1075
independent_square,17,8217072949997476534,270,92.80565074449026,-72.53333333333333,17404,463.5333333333529,35.53333333333333,388
independent_square,18,18010541614231416064,580110,103.7389840778236,-83.46666666666667,18046,474.4666666666873,87.66666666666939,1152
independent_square,19,14279817985918294756,72672,68.67231741115693,-48.4,20371,439.4000000000183,48.80000000000065,775
independent_square,20,8642352814767816782,182279,99.7389840778236,-79.46666666666667,21791,470.4666666666849,115.1333333333366,1170
independent_square,21,16870189793694861261,76532,175.87231741115693,-155.6,19357,546.6000000000157,176.46666666666817,1627
independent_square,22,8681747571449753125,345859,92.47231741115694,-72.2,19068,463.20000000001795,36.533333333333246,538
independent_square,23,7860091661239013041,666965,105.5389840778236,-85.26666666666667,22050,476.2666666666813,101.66666666666684,648
independent_square,24,11423400672835504822,438541,99.5389840778236,-79.26666666666667,19581,470.26666666668217,94.40000000000202,895
independent_square,25,16236339653217658223,946191,172.7389840778236,-152.46666666666667,19317,543.4666666666767,182.0666666666646,1816
independent_square,26,12869327790998693949,51208,69.67231741115693,-49.4,20138,440.40000000001925,58.733333333333405,718
independent_square,27,9307313185570824525,656290,55.5389840778236,-35.266666666666666,18842,426.26666666668183,53.2666666666664,535
independent_square,28,7326665137890325103,676668,61.27231741115693,-41.0,22570,432.0000000000167,64.60000000000024,681
independent_square,29,9460286839201919682,87869,99.00565074449027,-78.73333333333333,17213,469.7333333333527,104.60000000000288,1011
independent_square,30,5823974729352673706,648360,110.3389840778236,-90.06666666666666,19761,481.0666666666831,91.26666666666786,859
independent_square,31,1197906404156733684,437342,97.67231741115694,-77.4,19908,468.40000000001913,36.3333333333333,396
independent_square,32,987656070977910553,815921,99.07231741115693,-78.8,16997,469.8000000000154,96.40000000000158,922
independent_square,33,14807995973516257558,806569,182.87231741115693,-162.6,18875,553.600000000012,170.46666666666854,1203
independent_square,34,11035483966002043753,397468,178.60565074449028,-158.33333333333334,19426,549.333333333348,174.1333333333323,1823
independent_square,35,908277930378458596,280439,107.60565074449026,-87.33333333333333,19426,478.3333333333534,96.0000000000039,1254
independent_square,36,6578733034294322267,657206,100.07231741115693,-79.8,19197,470.800000000019,92.26666666666893,1016
independent_square,37,13518324957499820077,410389,80.20565074449026,-59.93333333333333,20683,450.93333333334857,72.80000000000123,833
independent_square,38,12854477015722701219,528147,106.40565074449027,-86.13333333333334,19590,477.1333333333484,82.86666666666696,691
independent_square,39,17628866059880776415,854789,98.67231741115694,-78.4,18616,469.4000000000206,91.73333333333582,1335
independent_square,40,5059968125754596135,912749,170.3389840778236,-150.06666666666666,19340,541.0666666666737,55.46666666666647,375
independent_square,41,637132605493534720,203617,61.07231741115693,-40.8,20354,431.800000000015,54.59999999999968,609
independent_square,42,12973709305259501376,350579,99.60565074449026,-79.33333333333333,16944,470.3333333333493,105.00000000000125,896
independent_square,43,1184192299766106552,793289,100.5389840778236,-80.26666666666667,23930,471.2666666666827,109.66666666666823,812
independent_square,44,5434204389300068256,913538,170.07231741115694,-149.8,20857,540.8000000000173,131.0666666666695,1411
independent_square,45,16675887738678317120,873013,96.20565074449027,-75.93333333333334,18031,466.93333333335244,86.5333333333356,1024
independent_square,46,9448706360005846900,899664,177.3389840778236,-157.06666666666666,25797,548.0666666666797,126.80000000000241,946
