n,K,event,old_best_r,new_best_r,best_ratio,best_margin,exact_holes,max_depth
109821,5,best_r_change,2,3,0.933123294573,7344.46666667,9403,8
109822,5,best_r_change,3,2,0.932335961829,7431,9469,8
109824,5,best_r_change,2,3,0.932460421523,7417.46666667,9452,7
109826,5,best_r_change,3,2,0.932775481216,7383,9418,8
109827,5,best_r_change,2,3,0.932348754556,7429.93333333,9467,8
109828,5,best_r_change,3,2,0.932294132644,7436,9466,8
109829,5,best_r_change,2,3,0.932603714259,7402.06666667,9442,8
109830,5,best_r_change,3,2,0.932122370937,7455,9474,7
109831,5,best_r_change,2,3,0.93286716258,7373.26666667,9418,8
109832,5,best_r_change,3,2,0.932697210285,7392,9426,8
109833,5,best_r_change,2,3,0.932955790458,7363.66666667,9423,8
109834,5,best_r_change,3,2,0.931997377861,7469,9502,8
109839,5,best_r_change,2,3,0.932671152019,7395.33333333,9438,8
109840,5,best_r_change,3,2,0.932520029133,7412,9421,8
109841,5,best_r_change,2,3,0.932150411352,7452.66666667,9500,7
109845,5,best_r_change,3,2,0.932513996996,7413,9435,8
109846,5,best_r_change,2,3,0.932605647907,7403,9448,8
109849,5,best_r_change,3,2,0.931597010442,7514,9560,8
109851,5,best_r_change,2,3,0.931901090265,7480.73333333,9515,8
109852,5,best_r_change,3,2,0.931990314241,7471,9504,8
109854,5,best_r_change,2,3,0.931842263368,7487.4,9547,8
109855,5,best_r_change,3,2,0.932893359428,7372,9403,8
109856,5,best_r_change,2,3,0.932188197883,7449.53333333,9492,8
109858,5,best_r_change,3,2,0.931893899397,7482,9515,7
109859,5,best_r_change,2,3,0.931839903877,7488,9516,8
109860,5,best_r_change,3,2,0.932095394138,7460,9503,8
109863,5,best_r_change,2,3,0.932512917603,7414.33333333,9459,8
109864,5,best_r_change,3,2,0.932334522683,7434,9453,8
109865,5,best_r_change,2,3,0.932881870174,7373.93333333,9425,8
109866,5,best_r_change,3,2,0.932836364298,7379,9416,8
109867,5,best_r_change,2,3,0.93176598372,7496.66666667,9535,8
109868,5,best_r_change,3,2,0.93302872538,7358,9393,8
109871,5,best_r_change,2,3,0.93201845801,7469.2,9526,8
109874,5,best_r_change,3,2,0.932522707829,7414,9417,8
109875,5,best_r_change,2,3,0.932682290482,7396.53333333,9452,8
109878,5,best_r_change,3,2,0.932643477311,7401,9443,8
109879,5,best_r_change,2,3,0.932038575767,7467.53333333,9511,8
109880,5,best_r_change,3,2,0.931916636331,7481,9506,8
109881,5,best_r_change,2,3,0.93198520824,7473.53333333,9531,8
109884,5,best_r_change,3,2,0.932656255688,7400,9435,8
109885,5,best_r_change,2,3,0.932483353809,7419.06666667,9475,8
109886,5,best_r_change,3,2,0.931447136123,7533,9544,8
109888,5,best_r_change,2,3,0.932248592506,7445.06666667,9509,8
109889,5,best_r_change,3,2,0.932777621054,7387,9409,8
109890,5,best_r_change,2,3,0.933115539782,7349.93333333,9413,8
109892,5,best_r_change,3,2,0.932306264332,7439,9466,8
109894,5,best_r_change,2,3,0.931395708592,7539.2,9589,8
109895,5,best_r_change,3,2,0.933026980299,7360,9387,8
109896,5,best_r_change,2,3,0.93236393196,7432.93333333,9477,8
109897,5,best_r_change,3,2,0.931781577295,7497,9528,8
109898,5,best_r_change,2,3,0.932320879361,7437.8,9492,8
109900,5,best_r_change,3,2,0.932775250227,7388,9434,8
109902,5,best_r_change,2,3,0.93240280735,7429.06666667,9481,8
109903,5,best_r_change,3,2,0.931912686642,7483,9497,8
109904,5,best_r_change,2,3,0.932252389965,7445.73333333,9495,8
109906,5,best_r_change,3,2,0.932041926737,7469,9494,8
109907,5,best_r_change,2,3,0.932803794723,7385.33333333,9430,8
109909,5,best_r_change,3,2,0.93218935665,7453,9491,8
109910,5,best_r_change,2,3,0.931709580566,7505.8,9546,8
109911,5,best_r_change,3,2,0.932126902676,7460,9467,8
109913,5,best_r_change,2,3,0.93351408235,7307.66666667,9362,9
109914,5,best_r_change,3,2,0.932519970158,7417,9435,8
109915,5,best_r_change,2,3,0.931494336533,7529.8,9565,8
109916,5,best_r_change,3,2,0.932912405837,7374,9390,7
109917,5,best_r_change,2,3,0.932971848455,7367.53333333,9415,8
109921,5,best_r_change,3,2,0.933215673074,7341,9380,8
109922,5,best_r_change,2,3,0.931881394686,7487.73333333,9535,8
109924,5,best_r_change,3,2,0.931898402533,7486,9533,8
109925,5,best_r_change,2,3,0.931564248351,7522.8,9568,8
109926,5,best_r_change,3,2,0.932982188017,7367,9395,8
109930,5,best_r_change,2,3,0.933080445132,7356.46666667,9411,8
109932,5,best_r_change,3,2,0.932385474657,7433,9454,8
109933,5,best_r_change,2,3,0.931343030149,7547.66666667,9595,8
109934,5,best_r_change,3,2,0.931859115469,7491,9502,8
109935,5,best_r_change,2,3,0.931831840027,7494.06666667,9553,8
109937,5,best_r_change,3,2,0.931397072869,7542,9567,8
109938,5,best_r_change,2,3,0.931785794417,7499.33333333,9542,8
109940,5,best_r_change,3,2,0.932344915408,7438,9467,8
109941,5,best_r_change,2,3,0.933181130485,7346.13333333,9390,8
109943,5,best_r_change,3,2,0.933038028797,7362,9382,8
109945,5,best_r_change,2,3,0.933467946094,7314.86666667,9371,9
109946,5,best_r_change,3,2,0.93273061321,7396,9440,8
109947,5,best_r_change,2,3,0.934253170467,7228.66666667,9263,8
109948,5,best_r_change,3,2,0.931222032233,7562,9575,7
109949,5,best_r_change,2,3,0.932649379864,7405.13333333,9451,8
109952,5,best_r_change,3,2,0.93338911525,7324,9332,8
109954,5,best_r_change,2,3,0.932252881508,7449.06666667,9491,8
109956,5,best_r_change,3,2,0.932536651024,7418,9445,8
109958,5,best_r_change,2,3,0.931835185556,7495.26666667,9528,8
109960,5,best_r_change,3,2,0.93102946526,7584,9601,8
109963,5,best_r_change,2,3,0.932059571553,7470.93333333,9507,8
109964,5,best_r_change,3,2,0.932077770907,7469,9520,8
109965,5,best_r_change,2,3,0.93224995832,7450.13333333,9487,8
109966,5,best_r_change,3,2,0.932497317353,7423,9441,8
109969,5,best_r_change,2,3,0.932747107518,7395.73333333,9449,8
109970,5,best_r_change,3,2,0.931926889152,7486,9497,8
109971,5,best_r_change,2,3,0.932910797695,7377.86666667,9428,8
